filepath;espece_fr
../data/raw/OpenAnimalTracks/mountainlion/21044914.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/60977412.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/Mountain-Lion-Tracks-(1).jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/58207094.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/Cougar-Tracks-14.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/95667117.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/60977405.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/Cougar-Tracks-3.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/171221456.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/10081366.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/Cougar-Tracks-2.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/171233123.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/95334597.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/60977414.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/176523245.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/44878066.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/10081363.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/0-MountainLionTitle.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/176525743.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/1075956.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/44878058.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/171221445.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/1628566.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/1628572.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/50547768.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/60977416.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/1075957.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/Cougar-Tracks.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/171221595.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/211837367.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/60977465.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/10081307.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/188380963.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/10081306.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/171221755.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/10081299.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/95667160.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/50547863.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/44878217.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/10081310.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/10081304.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/10081305.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/10081339.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/2633103.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/50547872.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/10081301.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/Mountain-Lion-Tracks-(6).jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/8248687.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/35005864.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/35005870.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/176525250.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/50547865.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/211836915.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/10081302.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/10081303.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/44406799.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/176523215.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/10081333.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/108358485.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/44406798.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/170949333.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/35005869.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/50547856.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/10081325.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/Mountain-Lion-Tracks-(5).jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/44878223.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/60977452.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/176525262.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/44878233.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/Mountain-Lion-Tracks-(4).jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/211837382.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/10081296.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/10081323.jpg;puma
../data/raw/OpenAnimalTracks/mountainlion/262138338.jpg;puma
